name,screen_name,followers_count,friends_count
Ravin Desai,ravin1sky,1883,2693
Bhavadharan,bhavadharan7,34,827
Abdullah S Khan 🇮🇳,ASK1981,75,1627
V.Govardhan Reddy,Go_VardhanReddy,192,4693
Nikhil Asnani,NikhilAsnani,185,2797
chinmay Bhalerao,chinmayBhaler11,3,63
Harsha R,HarshaR45,8,4
Share Manthan,sharemanthan,144,69
Surendra Dhote,DhoteSurendra,1372,4773
Banti Dad Kushwaha,DadKushwaha,292,2244
Sasikumar/சசிகுமார்,trsasikumar,72,4994
Bharat Gharia,BharatGharia,8,133
ARUN PRASAD HARIHARAN,HArunPrasad81,1,11
Mandar Dixit,dixitmp,99,284
gurudatta,GuruBodake,1,31
Megha Asha Bhargava,meghabhargava,92,1081
Manjunath Nelli,mknelli21,28,294
pratik vasani,pratik1605,83,291
Ashish Thakkar,Aashish_HR,4,180
AutoKartz Automobile,autokartz,63,271
Sachin Gurwe,SachinGurwe,434,3546
Ravi Dasar,RaviDasar,46,868
sandip tambe,sandiptambe17,0,25
Abhay Dixit,AbhayDi75704657,1,12
Sandeep Mahale,SandeepMahale01,5,72
Shailesh Vaidya,shailesh292601,19,161
Sandra Choi,selectdetroit,61,141
Manish Vanpariya,manish09ec366,5,209
Pradip Singh,pradipsingh1987,9,100
Binaifer Jehani,JehaniBinaifer,131,237
Abdulla Al Hamli,AbdullaHamli,155,899
Vikash Singh,VikashS73941541,248,3158
SONU YADUVANSHI,SONUYAD18964312,2,171
Suhas Borate,SBorate1,17,191
Jaisimha Rao,jsrsimha,80,355
Ritesh Gupta,guptaritesh197,26,139
Rajesh Pandey,rajeshpandeyRP,146,458
Kiran rakhe,rtnrakhe,3,7
Harish Chavan,HarishChavan19,4,12
Jayant Mhatre,JayantMhatre83,6,27
Rajeev Shrivastava,RajeevS46874220,6,43
Sawan,Sawan762090151,18,316
Subandhu Arya,subandhuarya,33,77
Sudhanshu Kulshresth,sudhanshuk07,18,186
Navneet Chaudhari,Nacneet01,13,40
Vivek agrawal,Vivek061073,1,64
Hendrik Decramer,DecramerH,56,74
Bharat Kalled,BharatKalled,5,66
Vipin Sonje,vipinsonje,9,26
Clament John,goForCJ,47,355
achyut mishra,achyutmishra,123,137
Mansuri Aadil,mansuriaadil450,26,562
KAUSHAL KUMAR AMAR,KAUSHALKUMARAM2,14,336
Santosh Jaiswal,santosh99023579,25,192
MURALIDHARAN D,MURALIDHARAND8,10,135
Nicky,LAMMA_Nicky,724,1604
NIMMALAPUDI,nsathiraju,3,73
Anurag Vijay,dashinganurag83,232,404
Gurmeet Singh Dang,GurmeetDang,3,51
Shay Klusmeyer,ShayKlusmeyer,57,194
Aniket Jain,autoinfo_aniket,31,117
Abhay rathi,11abhayrathi,19,47
Niraj Singh,Fr_Niraj,215,432
VAIBHAV V. KOLAPKAR,kolapkarvaibhav,7,26
Hemant M Patil,HemantMPatil5,2,42
Nikhil Baijal,baijal2011,73,252
Jayant Jayaram,jayant_jayaram,3,20
mery anky,meryanky,236,1257
Amit Bhatnagar,AmitBha18220364,1,31
Sami Seppala,seppala_sami,5,28
Sanjana sanju,Sanjanasanju143,89,393
IFEGHY_MAHINDRA,ifeghy,3,63
ram,ramjeevan2011,16,151
Shashank Vashishtha,DMishy,313,1220
Akanksha Jain,Akanksh56106198,0,8
Mahendra Agarwal,Mahenag030782,74,512
Sandeep Chaudhary,Sandeep42812195,0,29
Bhera Dass,BheraDass,454,2906
Innovation Wire,innovation_wire,123,465
OJASWI ENTERPRISES,Ojaswienterpris,400,4981
neminath chougule,neminathchougul,6,300
kk,kkonnet,72,565
Satish Kumar,skrz2014,66,2385
Maxamed Cabdilahi,Maxamed61833434,50,1138
Daivesh Ghedia,Daivesh_G,44,1055
Ateeq,DumpyAteeq,167,3090
Eric Mougin,eric_mougin,1,15
RAJNI CHANDAN,R_Rajnichandan,24,454
Anant Umesh Doke,DokeAnant,10,362
Prakash Chand,Prakash95562823,707,4933
RAMAKANT NAVGHARE,ramakant1527,19,693
Vanjaresameer,Vanjaresameer1,3,57
Kauntey Kudtarkar,kaunteyk,133,1486
Pragna,prags810,12,95
Ravikiran shinde,Ravikiranshin13,110,757
Anupam Tiwari,Anupam08Tiwari,19,271
Surabhi Deshmukh,DSurabhi247,21,161
Arindom Das,ArindomDas13,29,60
Swap,nirvanaa_peace,91,263
Ramchandra Ranwa,RamchandraRanw3,0,4
#free kashmir,nazarulmir,271,575
Sandeep Virk,virksandeep,543,747
Ketan Dobariya,ketanmd,11,118
Projwal Kumar David,ProjwalzSpark,48,115
Karan Kabra,iima_karan,52,158
Y&G Group Companies,YandGTech,264,1054
Rushi Bardapurkar,rishi_9919,12,160
Chandra Sekhar Yarla,Sekharychandra,2,19
Rasesh Joshi,RaseshJoshi1,5,31
MANOJ K JHA aka MANU,manojgjha,875,3110
Arun Mishra,ArunMis35207164,1,8
Nafis khan,gulkhannnl,9,152
Joseph Philip,JosephP23226145,1,10
Ghanshyam dhankhara,dhankhara101,336,1352
Agricom Africa,AgricomAfrica,94,268
RishabhRatna Agrawal,p11rishabhr,27,335
Dr. Ajit Kumar Kar,ajitkar5,313,108
Rajeev Dhiman,rajeevdhiman22,0,39
Vigneshwaran,Aadhi_Tamizhan,21,964
